query,response,query_tokens,response_tokens
"What Leverage is Available?
","['Since we allow traders to hold positions overnight and over the weekend we have lowered the leverage across certain instruments to protect against any extreme volatility or price movements. We are delighted to offer the best available leverage across our challenge account in comparison to other prop firms. \n', 'Below is a breakdown of the leverage available across different assets: \n', ' 1:100 - Forex & Crypto \n', ' 1:100 - Metals, Indices & Energies \n', 'What does it mean to trade with leverage?\n', 'Leverage in trading enables you to open a trading position using a small amount of capital in order to take a much larger position in the market. By borrowing money to invest, you can amplify your returns and potentially earn more than you would have without using leverage.\n', 'For example:\n', 'If you have $5,000, you can leverage your trading position up to 100 times or more. So, if you leveraged at 100 to 1, you would be exposing yourself to managing a position of $500,000 in the market.\n', '\n']","['leverag', 'avail']","['firm', 'avail', 'movement', 'offer', 'leverag', 'volatil', 'certain', 'instrument', 'sinc', 'best', 'allow', 'challeng', 'hold', 'price', 'prop', 'comparison', 'extrem', 'weekend', 'across', 'protect', 'delight', 'account', 'posit', 'trader', 'lower', 'overnight', 'leverag', 'across', 'avail', 'breakdown', 'differ', 'asset', '', 'forex', 'crypto', '', 'indic', 'energi', 'metal', 'leverag', 'mean', 'trade', 'use', 'open', 'capit', 'would', 'money', 'order', 'earn', 'leverag', 'potenti', 'invest', 'without', 'take', 'trade', 'larger', 'amplifi', 'amount', 'enabl', 'return', 'posit', 'small', 'borrow', 'market', 'much', 'exampl', 'leverag', 'trade', 'time', 'posit', 'would', 'manag', 'market', 'expos', '']"
"What's The Maximum Number of Accounts Allowed?
","[""We don't place any limit on the number of accounts that you can purchase either one after the other or in parallel. However, When it comes to active accounts we allow you up to 24, this depends on the account size combination. The maximum total initial capital on all your accounts cannot exceed $400,000. \n"", 'What capital is available? \n', 'Breaking down our 4 challenges: $25,000, $50,000, $100,000 & $200,000 means you can have: \n', ' 16 $25k accounts \n', ' 8 $50k accounts \n', ' 4 $100k accounts \n', ' 2 $200k accounts \n', 'or a combination of all capital up to $400k! With that said, you can scale up your capital as far as $5 million. \n', '\n']","['allow', 'account', 'maximum', 'number', 'what']","['', 'either', 'size', 'capit', 'number', 'come', 'activ', 'cannot', 'parallel', 'combin', 'depend', 'allow', 'one', 'howev', 'maximum', 'initi', 'exceed', 'purchas', 'account', 'place', 'dont', 'limit', 'total', 'capit', 'avail', 'break', 'mean', 'challeng', '', 'account', 'k', '', 'account', 'k', '', 'account', 'k', '', 'account', 'k', 'said', 'capit', 'scale', 'million', 'far', 'combin', 'k', '']"
"What Payment Methods Are Available?
","[""Taking part in one of our challenges couldn't be easier. Simply sign up and purchase a challenge direct from your dashboard. \n"", 'When purchasing your challenge you can choose from the following cryptocurrency payment methods: \n', ' Bitcoin (BTC)\n', ' Ethereum (ETH) \n', ' Litecoin (LTC) \n', ' Dogecoin (DOGE) \n', 'Once you have made your purchase, and it has been verified on the blockchain you will receive your MetaTrader demo account credentials via email. You are now ready to start your challenge. \n', 'Important Note: \n', 'In order to use ETH (ERC-20) you will need to use the ERC-20 standard.\n', 'We are always looking to offer you the best possible funded experience, and part of this is to expand our payment offering.\n', ' \n', '                  🌟Credit Card payments coming soon! 🌟\n', '\n']","['payment', 'avail', 'method']","['easier', 'purchas', 'take', 'direct', 'challeng', 'one', 'sign', 'simpli', 'couldnt', 'part', 'dashboard', 'purchas', 'challeng', 'payment', 'method', 'cryptocurr', 'follow', 'choos', 'bitcoin', 'btc', 'ethereum', 'eth', 'ltc', 'litecoin', 'doge', 'dogecoin', 'purchas', 'via', 'start', 'challeng', 'receiv', 'account', 'made', 'verifi', 'email', 'demo', 'credenti', 'metatrad', 'readi', 'blockchain', 'import', 'note', 'use', 'standard', 'erc', 'need', 'order', 'eth', 'experi', 'best', 'look', 'possibl', 'payment', 'fund', 'expand', 'part', 'alway', 'offer', '', '', 'soon', 'payment', 'card', 'credit', 'come', '']"
"Do you have a refund policy?
","['You can request a refund if you have not activated or placed any trades on your account. If you used the account and/or failed the challenge, you are not eligible for a refund. To withdraw from the contract, you must send an email within 14 days and we will refund you all fees in the same way you paid them. \n', 'Funded accounts will receive their fees reimbursed on the successful completion of phases 1 and 2 of their challenge. \n', 'Important Note: FunderPro offers their traders an unlimited time period for completing the funded account challenge, however, in the case that you do not activate your account by logging in and placing trades within a 30-day period after signing up, your account will be temporarily suspended.\n', 'Access renewal can be requested through your trading portal [HYPERLINK: https://prop.funderpro.com/login?&utm_campaign=TOFf222] or by emailing support@funderpro.com [HYPERLINK: mailto:support@funderpro.com] within 6 months of the initial suspension. If not, the provision of the services will be terminated without the possibility of a fee refund.\n', '\n']","['polici', 'refund']","['use', 'fail', 'refund', 'request', 'activ', 'elig', 'must', 'send', 'withdraw', 'way', 'trade', 'challeng', 'fee', 'paid', 'day', 'email', 'account', 'place', 'within', 'andor', 'contract', 'success', 'complet', 'challeng', 'receiv', 'account', 'fee', 'phase', 'fund', 'reimburs', 'complet', 'import', 'case', 'fund', 'sign', 'activ', 'offer', 'unlimit', 'funderpro', 'temporarili', 'note', 'trade', 'challeng', 'time', 'howev', 'day', 'period', 'log', 'account', 'place', 'suspend', 'trader', 'within', 'portal', 'termin', 'refund', 'request', 'access', 'month', 'suspens', 'without', 'renew', 'possibl', 'trade', 'fee', 'initi', 'email', 'provis', 'supportfunderprocom', 'httpspropfunderprocomloginutmcampaigntoff', 'servic', 'mailtosupportfunderprocom', 'hyperlink', 'within', '']"
"How Can I Withdraw Profits?
","['You can simply request payouts for any profits that you generate on a weekly basis and we will process your payment as quickly as possible. In order to be eligible for a payout the following requirements are needed: \n', ' Your first payout request can be requested after 7 days from the first trade \n', ' Due to the current market state of BTC as a whole, we will only payout if your profit exceeds $100. This will be calculated on equity gain made by the trader during the previous week\n', 'Subsequent payouts will happen on a weekly basis, each Friday at 12:00 MT4/MT5 Server time. \n', 'What are the payout methods available: \n', 'Currently, you can withdraw your profits in BTC direct into your wallet. Once you have requested your payout we will review the request and aim to process it within 24-48 hours after the request has been submitted. Any payouts will ONLY be paid out to traders you have fully verified accounts and who have not breached any of your Funded Account requirements. \n', ""You can easily update your payment details at any time from your trader's portal, if or when you add new or edit existing payment details we will inform you via email as an extra measure of security. \n"", '\n']","['withdraw', 'profit']","['basi', 'elig', 'possibl', 'process', 'need', 'payment', 'requir', 'weekli', 'request', 'payout', 'simpli', 'order', 'profit', 'follow', 'gener', 'quickli', 'first', 'trade', 'day', 'payout', 'request', 'due', 'calcul', 'btc', 'exce', 'made', 'whole', 'equiti', 'previou', 'payout', 'current', 'gain', 'state', 'trader', 'week', 'profit', 'market', 'server', 'basi', 'time', 'mtmt', 'weekli', 'payout', 'happen', 'subsequ', 'friday', 'payout', 'avail', 'method', 'breach', 'btc', 'direct', 'requir', 'fund', 'request', 'withdraw', 'wallet', 'paid', 'verifi', 'payout', 'current', 'review', 'profit', 'fulli', 'process', 'aim', 'account', 'trader', 'hour', 'within', 'submit', 'portal', 'detail', 'via', 'exist', 'inform', 'easili', 'time', 'payment', 'edit', 'measur', 'secur', 'email', 'new', 'trader', 'updat', 'add', 'extra', '']"
"Do I Trade With Real Funds?
","['Once you have passed our 2 phase evaluation, FunderPro traders will have the same capital to trade with as initially chosen for their preceding evaluation (phase 1) and verification (phase 2) phases. Your FunderPro Funded Account will be connected to a live STP trading account with real capital, an industry first. \n', ""It's from your live account where we generate real profits, and you are entitled to 80% of the profits you earn on the account. \n"", ""Note: We don't provide account upgrades, please be sure to choose the account size that suits you from the beginning. This initial capital is what you will trade on your Funded Account. \n"", 'If you are successful, prove you are able to build consistent profits and have a winning trading strategy in the long run, you can scale your account. \n', 'What does it mean to trade with an STP broker?\n', 'We want all our traders to succeed, this is why we are the only prop firm to connect all Funded Traders to an STP account. STP (Straight Through Processing) means that we will connect you to tier-1 liquidity, and your orders will be passed directly to a counterparty without passing them through a dealing desk. \n', '\n']","['fund', 'real', 'trade']","['capit', 'fund', 'pass', 'chosen', 'stp', 'preced', 'real', 'funderpro', 'trade', 'connect', 'live', 'verif', 'initi', 'industri', 'first', 'evalu', 'account', 'phase', 'trader', 'entitl', 'account', 'live', 'real', 'earn', 'profit', 'gener', 'suit', 'note', 'trade', 'size', 'account', 'capit', 'begin', 'initi', 'dont', 'provid', 'fund', 'pleas', 'sure', 'upgrad', 'choos', 'build', 'success', 'prove', 'trade', 'account', 'win', 'abl', 'run', 'consist', 'scale', 'long', 'profit', 'strategi', 'mean', 'broker', 'trade', 'stp', 'firm', 'counterparti', 'fund', 'order', 'straight', 'want', 'pass', 'without', 'stp', 'deal', 'directli', 'connect', 'prop', 'succeed', 'mean', 'tier', 'desk', 'liquid', 'process', 'account', 'trader', '']"
"Am I Required to Have a Verified Account?
","['You have now passed phase 2 but before we issue any Funded Account and allow you to trade on your live account you are required to verify your identity, This should take no longer than a few minutes to complete.\n', 'Follow the below steps to verify your identity: \n', '   Once you have completed the verification phase and we are happy you met all requirements our support team will guide you through the next steps. You are required to sign up for our live broker and complete the full verification process. \n', ' During the verification steps, you will be asked to provide: \n', "" A valid form of identification (driver's license, passport, ID card, or residence card)\n"", ' A selfie \n', 'Please note that when you re providing your proof of ID: \n', ' It must be a government-issued document \n', ' You must supply the front and back of the document, and the full document needs to be visible \n', ' Any documents provided must not be expired \n', ' We do not accept screenshots from your PC or mobile devices \n', ' Your date of birth must be clearly visible on the document provided \n', ' When attaching your documents please ensure they are in JPEG or PNG format and are not password protected\n', 'Your documents will now be screened and once verified you can trade on your Funded Account and start earning real profits. If you have any issues with your KYC screening feel free to contact our support team, available 24/7 via Live Chat on our website or through your client portal, or simply email us at support@funderpro.com [HYPERLINK: mailto:support@funderpro.com].\n', 'If you do not pass our identity screening you will not be granted your Funded Account.\n', '\n']","['account', 'verifi', 'requir']","['pass', 'take', 'longer', 'allow', 'trade', 'complet', 'issu', 'account', 'live', 'phase', 'ident', 'verifi', 'requir', 'minut', 'fund', 'follow', 'ident', 'verifi', 'step', 'next', 'full', 'broker', 'complet', 'process', 'live', 'phase', 'verif', 'guid', 'met', 'requir', 'happi', 'step', 'sign', 'team', 'support', 'ask', 'provid', 'verif', 'step', 'driver', 'id', 'valid', 'resid', 'form', 'card', 'passport', 'licens', 'identif', 'selfi', 'proof', 'id', 'note', 'provid', 'pleas', 'document', 'governmentissu', 'must', 'visibl', 'suppli', 'full', 'need', 'document', 'must', 'front', 'back', 'document', 'provid', 'expir', 'must', 'devic', 'mobil', 'pc', 'screenshot', 'accept', 'visibl', 'document', 'date', 'clearli', 'provid', 'must', 'birth', 'ensur', 'jpeg', 'protect', 'document', 'format', 'pleas', 'attach', 'password', 'png', 'chat', 'portal', 'avail', 'issu', 'document', 'fund', 'us', 'earn', 'websit', 'client', 'feel', 'via', 'real', 'simpli', 'start', 'trade', 'free', 'live', 'verifi', 'email', 'kyc', 'profit', 'supportfunderprocom', 'account', 'mailtosupportfunderprocom', 'hyperlink', 'screen', 'team', 'support', 'contact', 'pass', 'grant', 'account', 'ident', 'fund', 'screen', '']"
"How Does the Funded Account Work?
","['You will trade with the same account balance that you traded in the FunderPro Evaluation and Verification, meaning if you chose $100,000 you will manage a $100,000 Funded Account. To maintain your status as a Funded Trader you will need to meet certain drawdown limits: \n', "" Lose no more than 5% of the day's starting balance (Daily Drawdown)\n"", ' Lose no more than 10% of the initial balance (Overall Drawdown)\n', 'How much profit do I get? \n', 'The Funded Account allows you to receive an 80% profit split during each withdrawal period. If you manage to avoid breaching the drawdown limits and are profitable, you will be eligible for your first payout within 7 days from your first trade and on a weekly basis thereafter. Want to know more about our profit payout? Read more here [HYPERLINK: https://funderpro.com/faqs/the-funded-account/?faqID=3].\n', 'What happens if I am in breach of the requirements? \n', 'If you are in violation of the Daily or Overall drawdown in the Funded Account your account will be immediately disabled. You can apply for another evaluation. Note that you will not bear any of the losses, we take the risk of all your losses. \n', '\n']","['fund', 'work', 'account']","['balanc', 'funderpro', 'chose', 'evalu', 'trade', 'statu', 'account', 'need', 'meet', 'verif', 'certain', 'fund', 'drawdown', 'mean', 'trader', 'manag', 'limit', 'maintain', 'balanc', 'start', 'day', 'drawdown', 'daili', 'lose', 'balanc', 'overal', 'initi', 'drawdown', 'lose', 'profit', 'get', 'much', 'basi', 'breach', 'know', 'fund', 'want', 'elig', 'receiv', 'httpsfunderprocomfaqsthefundedaccountfaqid', 'withdraw', 'allow', 'trade', 'read', 'day', 'weekli', 'payout', 'split', 'profit', 'period', 'first', 'account', 'thereaft', 'drawdown', 'hyperlink', 'limit', 'manag', 'avoid', 'within', 'breach', 'happen', 'requir', 'take', 'note', 'overal', 'evalu', 'account', 'violat', 'appli', 'anoth', 'drawdown', 'daili', 'fund', 'bear', 'risk', 'disabl', 'loss', 'immedi', '']"
"Can I Scale My Account?
","['The FunderPro scaling plan, available on both our $100k & $200k challenges, not only allows you to increase your balance but over time you can also increase your potential payout by simply proving yourself as a consistent, profitable trader. \n', 'Why our Scaling Plan is the best on the market?\n', ' A very generous 50% increase in account balance every 3 months, all the way up to $5 million\n', ' Fair and safe profit eligibility requirement (10% consecutively for 3 months)\n', ' Trading goals remain the same \n', ' Profit split of 80/20 in your favour \n', 'What are the requirements?\n', 'To be eligible traders must meet a 10% profit target consecutively for 3 months and we will reward you with a 50% balance increase of up to $5 million. \n', 'For example: \n', 'If you start with a $100k account and are profitable for 3 consecutive months with at least 10% profit you will qualify for a 50% scale increase. Meaning that you will get an extra $50k, bringing your balance up to $150k. \n', '\n']","['account', 'scale']","['balanc', 'funderpro', 'potenti', 'avail', 'allow', 'challeng', 'prove', 'plan', 'increas', 'time', 'payout', 'simpli', 'scale', 'consist', 'trader', 'profit', 'also', 'k', 'market', 'plan', 'best', 'scale', 'balanc', 'month', 'way', 'account', 'increas', 'everi', 'million', 'gener', 'elig', 'month', 'fair', 'requir', 'safe', 'consecut', 'profit', 'goal', 'trade', 'remain', 'profit', 'split', 'favour', 'requir', 'balanc', 'elig', 'month', 'reward', 'meet', 'increas', 'must', 'trader', 'consecut', 'profit', 'million', 'target', 'exampl', 'balanc', 'month', 'get', 'start', 'qualifi', 'account', 'increas', 'extra', 'least', 'mean', 'consecut', 'scale', 'profit', 'bring', 'k', '']"
"What are the Min & Max Trading Days?
","['The FunderPro challenge has a minimum trading rule. To meet this objective, you must trade for at least 5 days during your challenge. This means you must open at least one position on each of these days. \n', 'How do you define a trading day?\n', 'A trading day is defined as a day where at least one trade is executed. In the case that a trade is held over a number of days, the only day that will be considered a ""Trading Day"" is the day the position was opened. \n', ""What's the maximum trading period?\n"", 'We have no time limits to complete the challenge, this means your path to funding can be done at your own pace. \n', '\n']","['min', 'max', 'trade', 'day']","['funderpro', 'open', 'trade', 'challeng', 'meet', 'one', 'least', 'day', 'posit', 'mean', 'must', 'minimum', 'object', 'rule', 'day', 'trade', 'defin', 'execut', 'open', 'trade', 'one', 'case', 'consid', 'least', 'day', 'number', 'posit', 'held', 'defin', 'what', 'period', 'trade', 'maximum', 'pace', 'complet', 'challeng', 'path', 'time', 'fund', 'mean', 'limit', 'done', '']"
